collation_name;column_name;default_expr;formatted_type;generated_kind;identity_kind;not_null;object_name;object_type;ordinal_position;schema_name;type_name;type_schema
;id;gen_random_uuid();uuid;;;true;academy_lessons;BASE TABLE;1;public;uuid;pg_catalog
;module_id;;uuid;;;true;academy_lessons;BASE TABLE;2;public;uuid;pg_catalog
pg_catalog.default;title;;text;;;true;academy_lessons;BASE TABLE;3;public;text;pg_catalog
pg_catalog.default;summary;;text;;;false;academy_lessons;BASE TABLE;4;public;text;pg_catalog
pg_catalog.default;content;;text;;;false;academy_lessons;BASE TABLE;5;public;text;pg_catalog
pg_catalog.default;video_url;;text;;;false;academy_lessons;BASE TABLE;6;public;text;pg_catalog
;checklist;'[]'::jsonb;jsonb;;;false;academy_lessons;BASE TABLE;7;public;jsonb;pg_catalog
;tutorial_id;;uuid;;;false;academy_lessons;BASE TABLE;8;public;uuid;pg_catalog
pg_catalog.default;route_path;;text;;;false;academy_lessons;BASE TABLE;9;public;text;pg_catalog
pg_catalog.default;duration;;text;;;false;academy_lessons;BASE TABLE;10;public;text;pg_catalog
;order;0;integer;;;false;academy_lessons;BASE TABLE;11;public;int4;pg_catalog
pg_catalog.default;status;'published'::text;text;;;false;academy_lessons;BASE TABLE;12;public;text;pg_catalog
;created_at;now();timestamp with time zone;;;false;academy_lessons;BASE TABLE;13;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;false;academy_lessons;BASE TABLE;14;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;academy_modules;BASE TABLE;1;public;uuid;pg_catalog
;path_id;;uuid;;;true;academy_modules;BASE TABLE;2;public;uuid;pg_catalog
pg_catalog.default;name;;text;;;true;academy_modules;BASE TABLE;3;public;text;pg_catalog
pg_catalog.default;description;;text;;;false;academy_modules;BASE TABLE;4;public;text;pg_catalog
;order;0;integer;;;false;academy_modules;BASE TABLE;5;public;int4;pg_catalog
;created_at;now();timestamp with time zone;;;false;academy_modules;BASE TABLE;6;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;academy_paths;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;false;academy_paths;BASE TABLE;2;public;uuid;pg_catalog
pg_catalog.default;name;;text;;;true;academy_paths;BASE TABLE;3;public;text;pg_catalog
pg_catalog.default;description;;text;;;false;academy_paths;BASE TABLE;4;public;text;pg_catalog
pg_catalog.default;icon;;text;;;false;academy_paths;BASE TABLE;5;public;text;pg_catalog
;profile_target;;app_role;;;true;academy_paths;BASE TABLE;6;public;app_role;public
pg_catalog.default;status;'draft'::text;text;;;true;academy_paths;BASE TABLE;7;public;text;pg_catalog
;order;0;integer;;;false;academy_paths;BASE TABLE;8;public;int4;pg_catalog
pg_catalog.default;duration;;text;;;false;academy_paths;BASE TABLE;9;public;text;pg_catalog
pg_catalog.default;difficulty;;text;;;false;academy_paths;BASE TABLE;10;public;text;pg_catalog
pg_catalog.default;level;;text;;;false;academy_paths;BASE TABLE;11;public;text;pg_catalog
;created_at;now();timestamp with time zone;;;false;academy_paths;BASE TABLE;12;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;false;academy_paths;BASE TABLE;13;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;academy_progress;BASE TABLE;1;public;uuid;pg_catalog
;user_id;;uuid;;;true;academy_progress;BASE TABLE;2;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;academy_progress;BASE TABLE;3;public;uuid;pg_catalog
;path_id;;uuid;;;true;academy_progress;BASE TABLE;4;public;uuid;pg_catalog
;lesson_id;;uuid;;;true;academy_progress;BASE TABLE;5;public;uuid;pg_catalog
pg_catalog.default;status;'started'::text;text;;;true;academy_progress;BASE TABLE;6;public;text;pg_catalog
;completed_at;;timestamp with time zone;;;false;academy_progress;BASE TABLE;7;public;timestamptz;pg_catalog
